ID,Nome,Localidade,Profissao
10546833,Valter Amaral,Apúlia,Babysitter
17858651,Judite Abreu,Pombalinho,Agricultor
23658204,Aurora Cambezes,Pardais,Técnico ambiental
75650524,Irina Doutel,Macieira de Alcoba,Engenheiro civil
19693709,Humberto Franco,Antas,Eletricista
46931524,�lio Telles,Ourondo,Diretor de hotel
34566730,Hor�cio Belchiorinho,Boavista dos Pinheiros,Fotógrafo
19912142,Clodoaldo Mariz,Esporões,Polícia
16893057,Hilton Sim�es,Abrunheira,Assistente dentário
85340285,Nadina Lira,Torres do Mondego,Gestor de e-commerce
13507829,Adolfo Faro,Orgens,Relações públicas
13680579,Dinora Alancastre,Pinheiro,Designer gráfico
20221517,Julieta Carvalhais,Lijó,Economista
21492614,Filipa Meneses,Fontoura,Comercial / vendedor
22422980,Miranda Bulh�o,Alcochete,Estafeta
80807113,Claudino Camelo,Tondela,Esteticista
65650688,�ngelo Hil�rio,Gião,Videógrafo
10736009,Graziela Covilh�,Maureles,Solicitador
93735245,Mariete Fonseca,Almoster,Gestor de marketing
15488207,Liane Ilha,Sta. Cruz do Lima,Barman
50996668,Godofredo Leme,Carreira,Ator
37727046,Wilson Canto,Malaqueijo,Fotógrafo
68616032,Dores Castelo,Fundada,Explicador / tutor
11771664,M�rio Galindo,Marmelos,Especialista em inteligência artificial
70964308,Fernando Filgueiras,Tamel (S. Veríssimo),Comercial / vendedor
28987032,Jussara Vilari�a,Ventosa,Pedreiro
15090675,T�mara Pacheco,Vila Franca do Deão,Técnico administrativo
26993370,Rute Feitosa,Porto da Cruz,Jornalista
65374622,Martinho Hernandes,Agadão,Empregado de mesa
71706794,Geraldino Sotomayor,Mosteiro,Cientista de dados
14724367,Nancy Leiria,Alte,Técnico de radiologia
12619006,Le�ncio Maltez,Ansião,Engenheiro civil
76017242,Tatiana Prudente,Vide,Educador social
40199766,Violeta Can�rio,Brasfemes,Cabeleireiro
31348106,Caetano Laureano,Póvoa de S. Miguel,Técnico de radiologia
18107757,Lino Carrasco,Vale de Figueira,Empreendedor
11095540,Raul Rodrigues,Fornos,Guia turístico
79526825,Beatriz Vilarinho,Murça,Esteticista
88754847,Leonardo Sequeira,Rosto do Cão (Livramento),Músico
16351614,Luc�lia Abreu,Batalha,Piloto
41741841,L�dia Freitas,Bustelo,Explicador / tutor
33058415,Eleut�rio Damascena,Covelas,Designer gráfico
20743825,Golias Vianna,Escalos de Cima,Personal trainer
17318246,Calisto Piteira,Vila de Rei,Analista de dados
32309063,Cibelli N�brega,Santo Amaro,Farmacêutico
16602094,Raul Imperial,Estorãos,Técnico ambiental
75599351,Berta Quirino,Zoio,Especialista em inteligência artificial
28053121,Marlene Anlicoara,Campinho,Analista de investimentos
98673075,Otoniel Queir�s,Vila Real (Nª Sra. da Conceição),Guia turístico
76186205,La�s Bas�lio,Tamanhos,Engenheiro químico
12962904,V�nia Gil,S. Romão de Aregos,Personal trainer
36300839,Ol�mpio Resende,Sta. Comba,Analista de investimentos
53232916,Dina Porci�ncula,Caria,Notário
14314536,Erasmo Azeredo,Gualtar,Dentista
